bodega,nr_articulo,articulo,unidad,sd
STOCK ALMACEN  SUMINISTROS,1397364,ESPARADRAPO TELA BEGUT ROLL 1/2X5Y SEV,Unidad,5.0
STOCK ALMACEN  SUMINISTROS,95018368,ESPATULA METALICA MANGO BLANCO,Unidad,11.0
STOCK ALMACEN  SUMINISTROS,97503204,"ESPATULA PARA LIMPIEZA DE LATAS 4"" FB",Unidad,3.0
STOCK ALMACEN  SUMINISTROS,97503208,ESPATULA POSTRE 7X14,Unidad,8.0
STOCK ALMACEN  SUMINISTROS,97503193,ESPATULA SILICONA #10,Unidad,4.0
STOCK ALMACEN  SUMINISTROS,97503195,ESPATULA SILICONA #14,Unidad,4.0
STOCK ALMACEN  SUMINISTROS,97503197,ESPATULA SILICONA #16,Unidad,4.0
STOCK ALMACEN  SUMINISTROS,95009678,ESPONJA HORNOS PARRILLA 3M ROLLO X 5 MT,Unidad,6.0
STOCK ALMACEN  SUMINISTROS,95022595,ESPUMADERA MALLA,Unidad,2.0
STOCK ALMACEN  SUMINISTROS,95031010,ETIQUETA ROTACION AYB,Unidad,46.0
STOCK ALMACEN  SUMINISTROS,95000939,F-281 ARQUEO DE FONDOS RESX500,Unidad,6.0
STOCK ALMACEN  SUMINISTROS,95001089,F-393 VALERA COMIDA-PERSONAL LIBX50,Unidad,53.0
STOCK ALMACEN  SUMINISTROS,810000484,FILTRO CAFETERIA,Unidad,5000.0
STOCK ALMACEN  SUMINISTROS,158545,FIXOMULL STRETCH 15CMX10M CJX1ROLLO BSN,Unidad,3.0
STOCK ALMACEN  SUMINISTROS,95008384,FLOTADOR PARA MEGATOBOGAN,Unidad,20.0
STOCK ALMACEN  SUMINISTROS,95013466,FLOTADOR PISCILAGO 4 PERSONAS,Unidad,30.0
STOCK ALMACEN  SUMINISTROS,95001229,FOLDER CELUGUIA HORIZONTAL OFICIO 180 GR,Unidad,71.0
STOCK ALMACEN  SUMINISTROS,95001230,FOLDER COLGANTE AZUL PLASTIC.VARILLA MET,Unidad,52.0
STOCK ALMACEN  SUMINISTROS,95001182,F-RS-02 C/TROL INGRESO RETIRO ELE LIBX50,Unidad,10.0
STOCK ALMACEN  SUMINISTROS,95026796,FRUTERA PLASTICA + TAPA 16 ONZ PAQ*25,Unidad,21.0
STOCK ALMACEN  SUMINISTROS,95001489,GANCHO CLIP CORRIENTE CJ X 100 UNIDADES,Unidad,7.0
STOCK ALMACEN  SUMINISTROS,95001488,GANCHO CLIP MARIPOSA CJ X 50 UNIDADES,Unidad,5.0
STOCK ALMACEN  SUMINISTROS,95001482,GANCHO COSEDORA 26/6 ESTANDAR X 5000 UN,Unidad,16.0
STOCK ALMACEN  SUMINISTROS,95001507,GANCHO LEGAJADOR METALICO 3 PZ CAJAX20UN,Unidad,12.0
STOCK ALMACEN  SUMINISTROS,95026905,GANCHO ROPA,Unidad,40.0
STOCK ALMACEN  SUMINISTROS,855315,GASA ESTERIL CURE BAND 10X10 CJX24SO,Unidad,30.0
STOCK ALMACEN  SUMINISTROS,95019077,GORRO EN LICRA PARA BAÑO CON LOGO,Unidad,2000.0
STOCK ALMACEN  SUMINISTROS,95010470,GUANTE CAUCHO AFELPADO AMARILLO T.L,Unidad,36.0
STOCK ALMACEN  SUMINISTROS,95009582,GUANTE DE CAUCHO CAL. 35 No 9 PAR,Unidad,43.0
STOCK ALMACEN  SUMINISTROS,95010466,GUANTE DE NITRILO  TALLA M CJ X 50 PARES,Unidad,36.0
STOCK ALMACEN  SUMINISTROS,95010394,GUANTES DE POLIETILENO CJX50 PARES,Unidad,67.0
STOCK ALMACEN  SUMINISTROS,1394890,HIDROXIDOALUMINIO 6G/100ML SSN FCOX360ML,Unidad,2.0
STOCK ALMACEN  SUMINISTROS,95000902,HT.FC.35 ORDENES DE BEBIDA LIBX50,Unidad,25.0
STOCK ALMACEN  SUMINISTROS,95001520,HUELLERO BASE DE ACEITE BORRA FACIL #50,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95031303,JABON LÍQUIDO EPROCARE 3780ML/1 GALÓN,Unidad,27.0
STOCK ALMACEN  SUMINISTROS,736176,JERINGA CJX100 5CC C/AGUJA 21G/1 1/,Unidad,2.0
STOCK ALMACEN  SUMINISTROS,95001248,LAPIZ MINA NEGRA,Unidad,6.0
STOCK ALMACEN  SUMINISTROS,95001235,LEGAJADOR AZ TAMAÑO OFICIO,Unidad,38.0
STOCK ALMACEN  SUMINISTROS,95001429,LIBRO CONTABILIDAD 400 FOLIOS 3 COLUMNAS,Unidad,7.0
STOCK ALMACEN  SUMINISTROS,95008221,LIJA AGUA No. 120,Unidad,119.0
STOCK ALMACEN  SUMINISTROS,95022243,LIMPIADOR EN CREMA LEMON EZE LITRO,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95004948,LIMPIAVIDRIOS FRASCO 500 ML,Unidad,11.0
STOCK ALMACEN  SUMINISTROS,95009577,LIMPION PAPEL NATURAL INDUSTR RLLX550MT,Unidad,63.0
STOCK ALMACEN  SUMINISTROS,95006744,LIMPION WYPOL X-70 REUTILIZABLE CJ X 6RLS,Unidad,4.0
STOCK ALMACEN  SUMINISTROS,95020335,LLANTA 245/50 R16,Unidad,82.0
STOCK ALMACEN  SUMINISTROS,95027270,LLANTA DIRECCIONAL 215/75 R17.5 PISCIMOV,Unidad,4.0
STOCK ALMACEN  SUMINISTROS,95027269,LLANTA TRACCION 215/75 R17.5 PISCIMOVIL,Unidad,14.0
STOCK ALMACEN  SUMINISTROS,95004875,LLAVEROS CON LOGOTIPO ACRILICOS,Unidad,31.0
STOCK ALMACEN  SUMINISTROS,1294843,LOPERAMIDA 2MG TAB CJX6TAB GE,Unidad,15.0
STOCK ALMACEN  SUMINISTROS,95019897,MALLA DELGADA A&B PARA EL CABELLO 50MM,Unidad,461.0
STOCK ALMACEN  SUMINISTROS,95001251,MARCADOR BORRABLE COLORES SURTIDOS X 4UN,Unidad,3.0
STOCK ALMACEN  SUMINISTROS,95001259,MARCADOR PERM.PUNTA FINA SURTIDO X 4UN,Unidad,3.0
STOCK ALMACEN  SUMINISTROS,95001252,MARCADOR PERMANENTE NEGRO,Unidad,13.0
STOCK ALMACEN  SUMINISTROS,95019537,MARCADOR POSTERMARKER 20mm NEGRO,Unidad,20.0
STOCK ALMACEN  SUMINISTROS,95019535,MARCADOR POSTERMARKER 20mm ROJO,Unidad,19.0
STOCK ALMACEN  SUMINISTROS,95019562,MARCADOR POSTERMARKER 30mm ROJO,Unidad,20.0
STOCK ALMACEN  SUMINISTROS,356092,MAREOL 50MG CJX12TAB WY,Unidad,10.0
STOCK ALMACEN  SUMINISTROS,95004482,MASCARILLA DESECHABLE CAUCHOS CJX50 UN,Unidad,55.0
STOCK ALMACEN  SUMINISTROS,95019405,MECHA PARA CALENTADOR SAMOVAR PAQX7,Unidad,97.0
STOCK ALMACEN  SUMINISTROS,95004117,MECHA PARA TRAPERO REF.1000 DE 405 GR,Unidad,13.0
STOCK ALMACEN  SUMINISTROS,95023482,MEZCLADOR EN MADERA 11CM PAQ X 1000,Unidad,39.0
STOCK ALMACEN  SUMINISTROS,95032368,MOLDE ALUMINIO LASAÑA 16 ONZAS,Unidad,8000.0
STOCK ALMACEN  SUMINISTROS,1316332,OF-NEXCARE MICRO PIEL 24X5 PG:4LLV:5M 3,Unidad,5.0
STOCK ALMACEN  SUMINISTROS,97503216,OLLA ALUMINIO CON TAPA 2 LT,Unidad,4.0
STOCK ALMACEN  SUMINISTROS,95027101,ORGANIZADOR CONSUMIBLES EST.CAFE,Unidad,3.0
STOCK ALMACEN  SUMINISTROS,95010839,PAILA ALUMINIO NO. 50 ESCURRIDORA,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,97500797,"PALA MARMITA EN ACERO INOXID REF:, 42,4""",Unidad,2.0
STOCK ALMACEN  SUMINISTROS,95009613,PALILLO MADERA PARA HAMBURGUESA PAQX100,Unidad,365.0
STOCK ALMACEN  SUMINISTROS,95023584,PALO DE BAMBU ROJO,Unidad,4.0
STOCK ALMACEN  SUMINISTROS,6872,PANOTIL B 8000UI-40MG SOL OT  FCOX8ML,Unidad,2.0
STOCK ALMACEN  SUMINISTROS,95004221,PAPEL ALUMINIO ROLLO 12 X  300 FT,Unidad,13.0
STOCK ALMACEN  SUMINISTROS,95001302,PAPEL CARBON NEGRO TAMAÑO CARTA,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95001306,PAPEL FOTOCOPIA TAMAÑO CARTA 75 GR,Unidad,34.0
STOCK ALMACEN  SUMINISTROS,95001307,PAPEL FOTOCOPIA TAMAÑO OFICIO 75 GR,Unidad,7.0
STOCK ALMACEN  SUMINISTROS,95023350,PASTILLA LIMPIADOR HORNO AZUL BALDE X150,Unidad,1950.0
STOCK ALMACEN  SUMINISTROS,95023349,PASTILLA LIMPIADOR HORNO ROJA BALDE X100,Unidad,1600.0
STOCK ALMACEN  SUMINISTROS,95024760,PASTILLA LIMPIADOR HORNO VERDE BALDEX150,Unidad,-295.0
STOCK ALMACEN  SUMINISTROS,95001205,PEGA PAPEL EN BARRA X 40 GR,Unidad,3.0
STOCK ALMACEN  SUMINISTROS,95001238,PERFORADORA ESTANDAR 2 HUECOS 23 HOJAS,Unidad,11.0
STOCK ALMACEN  SUMINISTROS,95009591,PEROL PROFESIONAL 24 CM ANODIZADO,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95008214,PILA ALCALINA TRIPLE AAA,Unidad,24.0
STOCK ALMACEN  SUMINISTROS,33181,PILAS DOBLE AA,Unidad,22.0
STOCK ALMACEN  SUMINISTROS,95025042,PINZAS MANGO NEGRO,Unidad,17.0
STOCK ALMACEN  SUMINISTROS,95006710,PITILLO DE PAPEL CAJA,Unidad,609.0
STOCK ALMACEN  SUMINISTROS,1321655,PLASIL METOCLOPRAMIDA 10MG CJX30 TAB BSS,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95027684,PLATO 15CM  PULPA CAÑA PTE*20 UN,Unidad,1344.0
STOCK ALMACEN  SUMINISTROS,95027374,PLATO 3 DIVISIONES BAGAZO DE CAÑA PAQX20,Unidad,525.0
STOCK ALMACEN  SUMINISTROS,,PLATO CUADRADO,Unidad,400.0
STOCK ALMACEN  SUMINISTROS,95024943,PLATO CUADRADO PULPA 26 CM 250X50,Unidad,2000.0
STOCK ALMACEN  SUMINISTROS,95026918,PLATO HONDO 12 ONZ TAMIXPAQX100,Unidad,3.0
STOCK ALMACEN  SUMINISTROS,95026025,PLATO OVALADO 12x10,Unidad,2500.0
STOCK ALMACEN  SUMINISTROS,95025974,PORTACOMIDA J1 PULPA DE PAPEL PTE*50,Unidad,10.0
STOCK ALMACEN  SUMINISTROS,95031961,PORTACREPES,Unidad,3000.0
STOCK ALMACEN  SUMINISTROS,95004118,"PORTATRAPERO METALICO 2 MARIP1,50CM",Unidad,18.0
STOCK ALMACEN  SUMINISTROS,95019598,RALLADOR EN ACERO INXIDABLE,Unidad,6.0
STOCK ALMACEN  SUMINISTROS,97502946,RECIPIENTE ACERO INOXIDABLE,Unidad,13.0
STOCK ALMACEN  SUMINISTROS,95004100,RECOGEDOR BASURA PLASTICO,Unidad,11.0
STOCK ALMACEN  SUMINISTROS,95001262,REGLA PLASTICA 30 CM,Unidad,5.0
STOCK ALMACEN  SUMINISTROS,95001264,RESALTADOR AMARILLO,Unidad,8.0
STOCK ALMACEN  SUMINISTROS,4721088,RIFAMICINA 1% SPRAY FCO20ML,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95022468,"RODILLO EN ACRILICO DE 3"" * 40 CM",Unidad,2.0
STOCK ALMACEN  SUMINISTROS,95004389,ROLLO PREC POLIET FRUVER,Unidad,1.0
